CIUDAD,LATITUD,LONGITUD
A Coruña,,
A Coruña,43.36811,'-8.390709
A Coruña,43.36813,'-8.390675
A Coruña,43.368134,'-8.390675
A Coruña,43.368156,'-8.390635
A Coruña,43.368156,'-8.3906355
A Coruña,43.368156,'-8.390636
A Coruña,43.368156,'-8.390637
A Coruña,43.368164,'-8.390637
A Coruña,43.36817,'-8.390641
A Coruña,43.36818,'-8.390644
A Coruña,43.368187,'-8.390647
A Coruña,43.36819,'-8.39065
A Coruña,43.3682,'-8.390652
A Coruña,43.368206,'-8.390653
A Coruña,43.368214,'-8.390654
A Coruña,43.36822,'-8.390655
A Coruña,43.36823,'-8.390655
A Coruña,43.368237,'-8.390655
A Coruña,43.368244,'-8.390654
A Coruña,43.368244,'-8.390655
A Coruña,43.368248,'-8.390655
A Coruña,43.368282,'-8.390603
A Coruña,43.368294,'-8.390585
A Coruña,43.368332,'-8.39062
A Coruña,43.368347,'-8.391009
A Coruña,43.368355,'-8.390642
A Coruña,43.36836,'-8.390997
A Coruña,43.368366,'-8.391076
A Coruña,43.368366,'-8.398378
A Coruña,43.368374,'-8.391013
A Coruña,43.368378,'-8.398608
A Coruña,43.368378,'-8.39861
A Coruña,43.368393,'-8.391038
A Coruña,43.36841,'-8.390592
A Coruña,43.36841,'-8.3906145
A Coruña,43.36841,'-8.390637
A Coruña,43.36841,'-8.390649
A Coruña,43.36841,'-8.39066
A Coruña,43.368412,'-8.3905525
A Coruña,43.368412,'-8.390565
A Coruña,43.368412,'-8.390577
A Coruña,43.368412,'-8.39058
A Coruña,43.368412,'-8.390686
A Coruña,43.368412,'-8.390693
A Coruña,43.368412,'-8.390698
A Coruña,43.368416,'-8.39054
A Coruña,43.368416,'-8.390547
A Coruña,43.36842,'-8.390526
A Coruña,43.368423,'-8.3905115
A Coruña,43.368427,'-8.390497
A Coruña,43.368427,'-8.390505
A Coruña,43.368427,'-8.3906975
A Coruña,43.368427,'-8.3907
A Coruña,43.368427,'-8.390704
A Coruña,43.368427,'-8.390712
A Coruña,43.36843,'-8.3904915
A Coruña,43.36843,'-8.390725
A Coruña,43.368435,'-8.390479
A Coruña,43.368435,'-8.390485
A Coruña,43.368435,'-8.390731
A Coruña,43.36844,'-8.390472
A Coruña,43.36844,'-8.390739
A Coruña,43.368443,'-8.390751
A Coruña,43.368458,'-8.390791
A Coruña,43.368458,'-8.391184
A Coruña,43.368458,'-8.398602
A Coruña,43.368458,'-8.398603
A Coruña,43.36847,'-8.398601
A Coruña,43.36847,'-8.3986025
A Coruña,43.368473,'-8.390415
A Coruña,43.36848,'-8.390403
A Coruña,43.36848,'-8.391171
A Coruña,43.368484,'-8.390396
A Coruña,43.36849,'-8.390888
A Coruña,43.368492,'-8.390385
A Coruña,43.368492,'-8.390885
A Coruña,43.368492,'-8.391201
A Coruña,43.368496,'-8.390379
A Coruña,43.368504,'-8.390368
A Coruña,43.368507,'-8.391194
A Coruña,43.36851,'-8.390359
A Coruña,43.36851,'-8.390362
A Coruña,43.368515,'-8.390948
A Coruña,43.36852,'-8.390351
A Coruña,43.368526,'-8.390343
A Coruña,43.368526,'-8.391213
A Coruña,43.368526,'-8.391215
A Coruña,43.36853,'-8.390338
A Coruña,43.36854,'-8.390326
A Coruña,43.368557,'-8.390309
A Coruña,43.368565,'-8.390302
A Coruña,43.36858,'-8.391113
A Coruña,43.368587,'-8.390279
A Coruña,43.368587,'-8.391145
A Coruña,43.368595,'-8.39027
A Coruña,43.368595,'-8.391163
A Coruña,43.3686,'-8.391176
A Coruña,43.368603,'-8.390264
A Coruña,43.368603,'-8.391177
A Coruña,43.368607,'-8.39026
A Coruña,43.368607,'-8.390261
A Coruña,43.368607,'-8.391182
A Coruña,43.368607,'-8.394156
A Coruña,43.368607,'-8.394254
A Coruña,43.36861,'-8.390256
A Coruña,43.36861,'-8.390258
A Coruña,43.36861,'-8.391186
A Coruña,43.36861,'-8.394058
A Coruña,43.368614,'-8.39119
A Coruña,43.368614,'-8.394584
A Coruña,43.368614,'-8.394585
A Coruña,43.368614,'-8.398591
A Coruña,43.368618,'-8.390254
A Coruña,43.368618,'-8.391192
A Coruña,43.36862,'-8.390253
A Coruña,43.36862,'-8.391193
A Coruña,43.36862,'-8.39435
A Coruña,43.368626,'-8.390252
A Coruña,43.368626,'-8.391193
A Coruña,43.368626,'-8.393962
A Coruña,43.36863,'-8.391194
A Coruña,43.36863,'-8.394547
A Coruña,43.368633,'-8.391193
A Coruña,43.368633,'-8.394532
A Coruña,43.368633,'-8.394596
A Coruña,43.368637,'-8.390251
A Coruña,43.368637,'-8.391193
A Coruña,43.368637,'-8.398589
A Coruña,43.36864,'-8.390251
A Coruña,43.36864,'-8.3911915
A Coruña,43.368645,'-8.391385
A Coruña,43.368645,'-8.394442
A Coruña,43.36865,'-8.390252
A Coruña,43.36865,'-8.391188
A Coruña,43.36865,'-8.39119
A Coruña,43.36865,'-8.3938675
A Coruña,43.36865,'-8.394607
A Coruña,43.36865,'-8.394608
A Coruña,43.368652,'-8.391185
A Coruña,43.368652,'-8.391377
A Coruña,43.368652,'-8.391378
A Coruña,43.368652,'-8.394609
A Coruña,43.368656,'-8.391367
A Coruña,43.368656,'-8.394476
A Coruña,43.368656,'-8.394576
A Coruña,43.368656,'-8.394611
A Coruña,43.368656,'-8.394613
A Coruña,43.36866,'-8.390253
A Coruña,43.36866,'-8.391179
A Coruña,43.36866,'-8.391364
A Coruña,43.36866,'-8.391369
A Coruña,43.36866,'-8.394575
A Coruña,43.36866,'-8.394615
A Coruña,43.368664,'-8.391172
A Coruña,43.368664,'-8.391176
A Coruña,43.368664,'-8.393811
A Coruña,43.368668,'-8.390254
A Coruña,43.368668,'-8.391167
A Coruña,43.368668,'-8.39117
A Coruña,43.368668,'-8.39381
A Coruña,43.36867,'-8.391159
A Coruña,43.36867,'-8.391163
A Coruña,43.36867,'-8.393807
A Coruña,43.36867,'-8.394586
A Coruña,43.36867,'-8.398353
A Coruña,43.36867,'-8.398368
A Coruña,43.368675,'-8.3911495
A Coruña,43.368675,'-8.391152
A Coruña,43.368675,'-8.393804
A Coruña,43.368675,'-8.3938055
A Coruña,43.36868,'-8.390257
A Coruña,43.36868,'-8.391144
A Coruña,43.36868,'-8.391145
A Coruña,43.36868,'-8.391437
A Coruña,43.368683,'-8.390259
A Coruña,43.368683,'-8.391426
A Coruña,43.368687,'-8.390261
